Quantity,Price Per One,Item Description,Brand,Link,Datasheet,Additional Info,Total Price
1,$15 ,ESP32-S3-DEVESP32-S3-DEVKITC-1U-N8R8,Espressif Systems,https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-DEVKITC-1U-N8R8/16162636?utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Low%20ROAS%20Categories&utm_term=&utm_content=&utm_id=go_cmp-20243063506_adg-_ad-__dev-c_ext-_prd-16162636_sig-CjwKCAiA3JCvBhA8EiwA4kujZlqWBe4FFkSFSUFICHx2Q0rQ1w-vUMyo36i_96dobPYDqMlOhOWRhRoC55gQAvD_BwE&gad_source=1&gclid=CjwKCAiA3JCvBhA8EiwA4kujZlqWBe4FFkSFSUFICHx2Q0rQ1w-vUMyo36i_96dobPYDqMlOhOWRhRoC55gQAvD_BwE,https://docs.espressif.com/projects/esp-dev-kits/en/latest/esp32s3/esp32-s3-devkitc-1/index.html,https://www.espressif.com/sites/default/files/documentation/esp32-s3_datasheet_en.pdf,$15.00 
1,$29.95 ,Ultimate GPS Breakout,Adafruit,https://www.digikey.com/en/products/detail/adafruit-industries-llc/746/5353613?utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Low%20ROAS%20Categories&utm_term=&utm_content=&utm_id=go_cmp-20243063506_adg-_ad-__dev-c_ext-_prd-5353613_sig-CjwKCAiA0PuuBhBsEiwAS7fsNXHXe8wdpxGJ2FW8z8ymursMxWPHHtUiJdoIhYFsOmU6UN7a6Og2sBoCPrYQAvD_BwE&gad_source=1&gclid=CjwKCAiA0PuuBhBsEiwAS7fsNXHXe8wdpxGJ2FW8z8ymursMxWPHHtUiJdoIhYFsOmU6UN7a6Og2sBoCPrYQAvD_BwE,https://learn.adafruit.com/adafruit-ultimate-gps,,$29.95 
1,$8.75 ,GPS Antenna,Seeed,https://www.digikey.com/en/products/detail/seeed/110061521/22109377,https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8932/110061521.pdf,,$8.75 
1,$19.95 ,Accelerometer and Gyroscope,Adafruit,https://www.adafruit.com/product/5543,https://learn.adafruit.com/adafruit-lsm6ds3tr-c-lis3mdl-precision-9-dof-imu/arduino,,$19.95 
2,$47.68 ,Headlights,Maxxima,https://www.amazon.com/Maxxima-MWL-29-Rectangular-Light-Lumens/dp/B00QSFSMHO,https://maxxima.com/pc_product_detail.asp?key=C9CF19A64CFE4D38912EB49444C99488,,$95.36 
1,$28.75 ,Brakelights,Command Electronics,https://www.commandelectronics.com/shop/surface-mount-22-led-tail-light-with-reflex-oval,,,$28.75 
1,$11.99 ,Buck Converter,,https://www.amazon.com/Zixtec-LM2596-Converter-Module-1-25V-30V/dp/B07VVXF7YX?th=1,,,$11.99 
1,$31.68 ,Thermistor,Sensata,https://www.digikey.com/en/products/detail/sensata-technologies/5024-0762/10257114?WT.z_cid=ref_Mectronic&s=N4IgTCBcDaIKwAYwBYC0CDsA2CBdAvkA&utm_campaign=buynow&utm_medium=aggregator&utm_source=mectronic,https://www.sensata.com/sites/default/files/a/sensata-5024egr-temperature%20sensor-datasheet.pdf,,$31.68 
1,$14.95 ,Thermocouple Breakout,Adafruit,https://www.adafruit.com/product/269?gad_source=1&gclid=CjwKCAiA0PuuBhBsEiwAS7fsNQ8CB5KpEJw7OlAhNvZs9sjdMWIj6PwOjvyEGgfIQw__U-HqUrhz8BoCFLIQAvD_BwE,https://learn.adafruit.com/thermocouple/overview,,$14.95 
1,$9.95 ,k-type thermocouple,Adafruit,https://www.adafruit.com/product/270,,,$9.95 
2,$32.49 ,Kill Switches,Skidoo,https://www.mfgsupply.com/01-171.html,,,$64.98 
1,$224.99 ,12V Li-Ion Battery,Antigravity,https://antigravitybatteries.com/products/starter-batteries/restart-oem/atz10-rs/,,,$224.99 
2,$12.76 ,Brake Switches,Wilwood,https://www.summitracing.com/parts/wil-300-11181,,,$25.52 
